,,LEASE,PERIOD,GROSS OIL,GROSS GAS,GROSS WTR
Foraker 1207 #10MUH-11,0,FORAKER 1207 10UMH-11,2019-04-05,799.21,302.0,437.0
Foraker 1207 #10MUH-11,1,FORAKER 1207 10UMH-11,2019-04-06,1013.52,1060.0,1487.0
Foraker 1207 #10MUH-11,2,FORAKER 1207 10UMH-11,2019-04-07,1221.85,1807.0,1605.0
Foraker 1207 #10MUH-11,3,FORAKER 1207 10UMH-11,2019-04-08,1167.02,1965.0,1513.0
Foraker 1207 #10MUH-11,4,FORAKER 1207 10UMH-11,2019-04-09,1046.16,2118.0,1493.0
Foraker 1207 #10MUH-11,5,FORAKER 1207 10UMH-11,2019-04-10,1217.64,2083.0,1331.0
Foraker 1207 #10MUH-11,6,FORAKER 1207 10UMH-11,2019-04-11,1174.52,1870.0,1278.0
Foraker 1207 #10MUH-11,7,FORAKER 1207 10UMH-11,2019-04-12,1180.07,2763.0,1200.0
Foraker 1207 #10MUH-11,8,FORAKER 1207 10UMH-11,2019-04-13,1099.11,2629.0,1072.0
Foraker 1207 #10MUH-11,9,FORAKER 1207 10UMH-11,2019-04-14,1171.81,2769.0,979.0
Foraker 1207 #10MUH-11,10,FORAKER 1207 10UMH-11,2019-04-15,1227.69,3039.0,912.0
Foraker 1207 #10MUH-11,11,FORAKER 1207 10UMH-11,2019-04-16,900.97,2799.0,710.0
Foraker 1207 #10MUH-11,12,FORAKER 1207 10UMH-11,2019-04-17,848.97,3073.0,673.0
Foraker 1207 #10MUH-11,13,FORAKER 1207 10UMH-11,2019-04-18,777.6,3282.0,599.0
Foraker 1207 #10MUH-11,14,FORAKER 1207 10UMH-11,2019-04-19,717.88,3203.0,536.0
Foraker 1207 #10MUH-11,15,FORAKER 1207 10UMH-11,2019-04-20,674.19,3233.0,493.0
Foraker 1207 #10MUH-11,16,FORAKER 1207 10UMH-11,2019-04-21,624.24,3224.0,456.0
Foraker 1207 #10MUH-11,17,FORAKER 1207 10UMH-11,2019-04-22,645.78,3230.0,420.0
Foraker 1207 #10MUH-11,18,FORAKER 1207 10UMH-11,2019-04-23,554.27,3304.0,372.0
Foraker 1207 #10MUH-11,19,FORAKER 1207 10UMH-11,2019-04-24,510.57,3237.0,364.0
Foraker 1207 #10MUH-11,20,FORAKER 1207 10UMH-11,2019-04-25,510.53,3301.0,333.0
Foraker 1207 #10MUH-11,21,FORAKER 1207 10UMH-11,2019-04-26,464.07,3254.0,315.0
Foraker 1207 #10MUH-11,22,FORAKER 1207 10UMH-11,2019-04-27,438.35,3265.0,292.0
Foraker 1207 #10MUH-11,23,FORAKER 1207 10UMH-11,2019-04-28,428.65,3281.0,280.0
Foraker 1207 #10MUH-11,24,FORAKER 1207 10UMH-11,2019-04-29,401.6,3253.0,261.0
Foraker 1207 #10MUH-11,25,FORAKER 1207 10UMH-11,2019-04-30,384.95,3207.0,259.0
Foraker 1207 #10MUH-11,26,FORAKER 1207 10UMH-11,2019-05-01,367.61,3236.0,244.0
Foraker 1207 #10MUH-11,27,FORAKER 1207 10UMH-11,2019-05-02,348.88,3192.0,235.0
Foraker 1207 #10MUH-11,28,FORAKER 1207 10UMH-11,2019-05-03,339.18,3164.0,241.0
Foraker 1207 #10MUH-11,29,FORAKER 1207 10UMH-11,2019-05-04,321.84,3158.0,223.0
Foraker 1207 #10MUH-11,30,FORAKER 1207 10UMH-11,2019-05-05,309.35,3111.0,218.0
Foraker 1207 #10MUH-11,31,FORAKER 1207 10UMH-11,2019-05-06,289.23,3090.0,206.0
Foraker 1207 #10MUH-11,32,FORAKER 1207 10UMH-11,2019-05-07,274.67,3066.0,196.0
Foraker 1207 #10MUH-11,33,FORAKER 1207 10UMH-11,2019-05-08,281.61,3045.0,177.0
Foraker 1207 #10MUH-11,34,FORAKER 1207 10UMH-11,2019-05-09,261.49,3022.0,201.0
Foraker 1207 #10MUH-11,35,FORAKER 1207 10UMH-11,2019-05-10,251.09,2968.0,168.0
Foraker 1207 #10MUH-11,36,FORAKER 1207 10UMH-11,2019-05-11,249.69,2955.0,185.0
Foraker 1207 #10MUH-11,37,FORAKER 1207 10UMH-11,2019-05-12,238.6,2966.0,180.0
Foraker 1207 #10MUH-11,38,FORAKER 1207 10UMH-11,2019-05-13,222.64,2982.0,174.0
Foraker 1207 #10MUH-11,39,FORAKER 1207 10UMH-11,2019-05-14,214.32,3001.0,166.0
Foraker 1207 #10MUH-11,40,FORAKER 1207 10UMH-11,2019-05-15,210.86,2965.0,158.0
Foraker 1207 #10MUH-11,41,FORAKER 1207 10UMH-11,2019-05-16,196.99,2940.0,160.0
Foraker 1207 #10MUH-11,42,FORAKER 1207 10UMH-11,2019-05-17,192.13,2906.0,146.0
Foraker 1207 #10MUH-11,43,FORAKER 1207 10UMH-11,2019-05-18,191.44,2878.0,145.0
Foraker 1207 #10MUH-11,44,FORAKER 1207 10UMH-11,2019-05-19,178.26,2840.0,142.0
Foraker 1207 #10MUH-11,45,FORAKER 1207 10UMH-11,2019-05-20,174.79,2817.0,136.0
Foraker 1207 #10MUH-11,46,FORAKER 1207 10UMH-11,2019-05-21,169.24,2720.0,134.0
Foraker 1207 #10MUH-11,47,FORAKER 1207 10UMH-11,2019-05-22,159.53,2754.0,260.0
Foraker 1207 #10MUH-11,48,FORAKER 1207 10UMH-11,2019-05-23,152.59,2744.0,117.0
Foraker 1207 #10MUH-11,49,FORAKER 1207 10UMH-11,2019-05-24,149.81,2671.0,108.0
Foraker 1207 #10MUH-11,50,FORAKER 1207 10UMH-11,2019-05-25,135.95,2622.0,105.0
Foraker 1207 #10MUH-11,51,FORAKER 1207 10UMH-11,2019-05-26,141.49,2605.0,108.0
Foraker 1207 #10MUH-11,52,FORAKER 1207 10UMH-11,2019-05-27,138.72,2547.0,100.0
Foraker 1207 #10MUH-11,53,FORAKER 1207 10UMH-11,2019-05-28,127.67,2625.0,88.0
Foraker 1207 #10MUH-11,54,FORAKER 1207 10UMH-11,2019-05-29,127.68,2467.0,87.0
Foraker 1207 #10MUH-11,55,FORAKER 1207 10UMH-11,2019-05-30,124.89,2314.0,84.0
Foraker 1207 #10MUH-11,56,FORAKER 1207 10UMH-11,2019-05-31,130.46,2408.0,80.0
Foraker 1207 #10MUH-11,57,FORAKER 1207 10UMH-11,2019-06-01,103.36,2163.0,80.0
Foraker 1207 #10MUH-11,58,FORAKER 1207 10UMH-11,2019-06-02,119.3,2598.0,92.0
Foraker 1207 #10MUH-11,59,FORAKER 1207 10UMH-11,2019-06-03,116.52,2267.0,75.0
Foraker 1207 #10MUH-11,60,FORAKER 1207 10UMH-11,2019-06-04,91.57,2230.0,72.0
Foraker 1207 #10MUH-11,61,FORAKER 1207 10UMH-11,2019-06-05,108.21,2229.0,64.0
Foraker 1207 #10MUH-11,62,FORAKER 1207 10UMH-11,2019-06-06,105.42,2207.0,64.0
Foraker 1207 #10MUH-11,63,FORAKER 1207 10UMH-11,2019-06-07,94.33,2200.0,40.0
Foraker 1207 #10MUH-11,64,FORAKER 1207 10UMH-11,2019-06-08,97.1,2007.0,38.0
Foraker 1207 #10MUH-11,65,FORAKER 1207 10UMH-11,2019-06-09,80.47,2080.0,32.0
Foraker 1207 #10MUH-11,66,FORAKER 1207 10UMH-11,2019-06-10,90.87,2032.0,35.0
Foraker 1207 #10MUH-11,67,FORAKER 1207 10UMH-11,2019-06-11,88.78,2057.0,33.0
Foraker 1207 #10MUH-11,68,FORAKER 1207 10UMH-11,2019-06-12,94.33,1996.0,33.0
Foraker 1207 #10MUH-11,69,FORAKER 1207 10UMH-11,2019-06-13,80.46,1998.0,27.0
Foraker 1207 #10MUH-11,70,FORAKER 1207 10UMH-11,2019-06-14,86.03,1949.0,23.0
Foraker 1207 #10MUH-11,71,FORAKER 1207 10UMH-11,2019-06-15,94.37,1920.0,80.0
Foraker 1207 #10MUH-11,72,FORAKER 1207 10UMH-11,2019-06-16,66.61,1858.0,26.0
Foraker 1207 #10MUH-11,73,FORAKER 1207 10UMH-11,2019-06-17,93.67,2151.0,35.0
Foraker 1207 #10MUH-11,74,FORAKER 1207 10UMH-11,2019-06-18,81.19,1660.0,36.0
Foraker 1207 #10MUH-11,75,FORAKER 1207 10UMH-11,2019-06-19,58.28,1817.0,33.0
Foraker 1207 #10MUH-11,76,FORAKER 1207 10UMH-11,2019-06-20,88.12,1620.0,27.0
Foraker 1207 #10MUH-11,77,FORAKER 1207 10UMH-11,2019-06-21,70.08,1863.0,32.0
Foraker 1207 #10MUH-11,78,FORAKER 1207 10UMH-11,2019-06-22,84.65,1788.0,25.0
Foraker 1207 #10MUH-11,79,FORAKER 1207 10UMH-11,2019-06-23,52.72,1974.0,16.0
Foraker 1207 #10MUH-11,80,FORAKER 1207 10UMH-11,2019-06-24,70.74,1280.0,22.0
Foraker 1207 #10MUH-11,81,FORAKER 1207 10UMH-11,2019-06-25,67.98,1657.0,28.0
Foraker 1207 #10MUH-11,82,FORAKER 1207 10UMH-11,2019-06-26,62.42,1705.0,24.0
Foraker 1207 #10MUH-11,83,FORAKER 1207 10UMH-11,2019-06-27,0.0,1579.0,20.0
Foraker 1207 #10MUH-11,84,FORAKER 1207 10UMH-11,2019-07-01,29.15,1555.0,5.0
Foraker 1207 #10MUH-11,85,FORAKER 1207 10UMH-11,2019-07-02,18.73,592.0,2.0
Foraker 1207 #10MUH-11,86,FORAKER 1207 10UMH-11,2019-07-03,69.39,219.0,24.5
Foraker 1207 #10MUH-11,87,FORAKER 1207 10UMH-11,2019-07-04,66.62,1998.0,100.0
Foraker 1207 #10MUH-11,88,FORAKER 1207 10UMH-11,2019-07-05,66.58,1597.0,22.0
Foraker 1207 #10MUH-11,89,FORAKER 1207 10UMH-11,2019-07-06,56.88,1734.0,16.0
Foraker 1207 #10MUH-11,90,FORAKER 1207 10UMH-11,2019-07-07,49.25,1442.0,12.0
Foraker 1207 #10MUH-11,91,FORAKER 1207 10UMH-11,2019-07-08,58.96,1325.0,17.0
Foraker 1207 #10MUH-11,92,FORAKER 1207 10UMH-11,2019-07-09,43.67,1433.0,17.5
Foraker 1207 #10MUH-11,93,FORAKER 1207 10UMH-11,2019-07-10,56.19,1275.0,19.0
Foraker 1207 #10MUH-11,94,FORAKER 1207 10UMH-11,2019-07-11,65.88,1516.0,17.0
Foraker 1207 #10MUH-11,95,FORAKER 1207 10UMH-11,2019-07-12,60.34,1472.0,10.0
Foraker 1207 #10MUH-11,96,FORAKER 1207 10UMH-11,2019-07-13,55.49,1723.0,16.0
Foraker 1207 #10MUH-11,97,FORAKER 1207 10UMH-11,2019-07-14,37.46,1445.0,12.0
Foraker 1207 #10MUH-11,98,FORAKER 1207 10UMH-11,2019-07-15,45.08,967.0,11.0
Foraker 1207 #10MUH-11,99,FORAKER 1207 10UMH-11,2019-07-16,46.47,1302.0,11.0
Foraker 1207 #10MUH-11,100,FORAKER 1207 10UMH-11,2019-07-17,40.23,1368.0,10.0
Foraker 1207 #10MUH-11,101,FORAKER 1207 10UMH-11,2019-07-18,52.72,1142.0,8.0
Foraker 1207 #10MUH-11,102,FORAKER 1207 10UMH-11,2019-07-19,47.85,1329.0,9.0
Foraker 1207 #10MUH-11,103,FORAKER 1207 10UMH-11,2019-07-20,45.78,1333.0,10.0
Foraker 1207 #10MUH-11,104,FORAKER 1207 10UMH-11,2019-07-21,41.62,1324.0,8.0
Foraker 1207 #10MUH-11,105,FORAKER 1207 10UMH-11,2019-07-22,45.78,1321.0,6.0
Foraker 1207 #10MUH-11,106,FORAKER 1207 10UMH-11,2019-07-23,2.08,1322.27,6.07
Foraker 1207 #10MUH-11,107,FORAKER 1207 10UMH-11,2019-07-24,49.94,1216.05,6.48
Foraker 1207 #10MUH-11,108,FORAKER 1207 10UMH-11,2019-07-25,58.96,1156.06,6.21
Foraker 1207 #10MUH-11,109,FORAKER 1207 10UMH-11,2019-07-26,46.47,1338.59,31.68
Foraker 1207 #10MUH-11,110,FORAKER 1207 10UMH-11,2019-07-27,44.39,1315.11,39.72
Foraker 1207 #10MUH-11,111,FORAKER 1207 10UMH-11,2019-07-28,31.9,1287.59,42.07
Foraker 1207 #10MUH-11,112,FORAKER 1207 10UMH-11,2019-07-29,40.92,1265.34,35.46
Foraker 1207 #10MUH-11,113,FORAKER 1207 10UMH-11,2019-07-30,38.15,1249.97,38.03
Foraker 1207 #10MUH-11,114,FORAKER 1207 10UMH-11,2019-07-31,43.7,1235.8,35.32
Foraker 1207 #10MUH-11,115,,,,,
Foraker 1207 #10MUH-11,116,,,,,
Foraker 1207 #10MUH-11,117,,,,,
Foraker 1207 #10MUH-11,118,,,,,
Foraker 1207 #10MUH-11,119,,,,,
Foraker 1207 #10MUH-11,120,,,,,
Foraker 1207 #10MUH-11,121,,,,,
Foraker 1207 #10MUH-11,122,,,,,
Foraker 1207 #10MUH-11,123,,,,,
Foraker 1207 #10MUH-11,124,,,,,
Foraker 1207 #10MUH-11,125,,,,,
Foraker 1207 #10MUH-11,126,,,,,
Foraker 1207 #10MUH-11,127,,,,,
Foraker 1207 #10MUH-11,128,,,,,
Foraker 1207 #10MUH-11,129,,,,,
Foraker 1207 #10MUH-11,130,,,,,
Foraker 1207 #10MUH-11,131,,,,,
Foraker 1207 #10MUH-11,132,,,,,
Foraker 1207 #10MUH-11,133,,,,,
Foraker 1207 #10MUH-11,134,,,,,
Foraker 1207 #10MUH-11,135,,,,,
Foraker 1207 #10MUH-11,136,,,,,
Foraker 1207 #10MUH-11,137,,,,,
Foraker 1207 #10MUH-11,138,,,,,
Foraker 1207 #10MUH-11,139,,,,,
Foraker 1207 #10MUH-11,140,,,,,
Foraker 1207 #10MUH-11,141,,,,,
Foraker 1207 #10MUH-11,142,,,,,
Foraker 1207 #10MUH-11,143,,,,,
Foraker 1207 #10MUH-11,144,,,,,
Foraker 1207 #10MUH-11,145,,,,,
Foraker 1207 #10MUH-11,146,,,,,
Foraker 1207 #10MUH-11,147,,,,,
Foraker 1207 #11SMH-11,0,FORAKER 1207 11SMH-11,2019-04-05,366.92,172.0,664.0
Foraker 1207 #11SMH-11,1,FORAKER 1207 11SMH-11,2019-04-06,718.2,1108.0,2176.0
Foraker 1207 #11SMH-11,2,FORAKER 1207 11SMH-11,2019-04-07,412.89,1678.0,2525.0
Foraker 1207 #11SMH-11,3,FORAKER 1207 11SMH-11,2019-04-08,631.48,1576.0,3212.0
Foraker 1207 #11SMH-11,4,FORAKER 1207 11SMH-11,2019-04-09,755.55,1890.0,2116.0
Foraker 1207 #11SMH-11,5,FORAKER 1207 11SMH-11,2019-04-10,851.5,2309.0,3164.0
Foraker 1207 #11SMH-11,6,FORAKER 1207 11SMH-11,2019-04-11,787.36,2779.0,3295.0
Foraker 1207 #11SMH-11,7,FORAKER 1207 11SMH-11,2019-04-12,1041.79,2464.0,3322.0
Foraker 1207 #11SMH-11,8,FORAKER 1207 11SMH-11,2019-04-13,882.66,2938.0,3029.0
Foraker 1207 #11SMH-11,9,FORAKER 1207 11SMH-11,2019-04-14,1072.7,2959.0,2291.0
Foraker 1207 #11SMH-11,10,FORAKER 1207 11SMH-11,2019-04-15,900.07,3039.0,2411.0
Foraker 1207 #11SMH-11,11,FORAKER 1207 11SMH-11,2019-04-16,1077.21,3151.0,2173.0
Foraker 1207 #11SMH-11,12,FORAKER 1207 11SMH-11,2019-04-17,1098.54,3265.0,2774.0
Foraker 1207 #11SMH-11,13,FORAKER 1207 11SMH-11,2019-04-18,1014.39,3397.0,2630.0
Foraker 1207 #11SMH-11,14,FORAKER 1207 11SMH-11,2019-04-19,1002.8,3190.0,2283.0
Foraker 1207 #11SMH-11,15,FORAKER 1207 11SMH-11,2019-04-20,986.15,3202.0,2396.0
Foraker 1207 #11SMH-11,16,FORAKER 1207 11SMH-11,2019-04-21,938.28,3243.0,2271.0
Foraker 1207 #11SMH-11,17,FORAKER 1207 11SMH-11,2019-04-22,971.55,3331.0,2106.0
Foraker 1207 #11SMH-11,18,FORAKER 1207 11SMH-11,2019-04-23,945.03,3416.0,1775.0
Foraker 1207 #11SMH-11,19,FORAKER 1207 11SMH-11,2019-04-24,901.8,3438.0,1791.0
Foraker 1207 #11SMH-11,20,FORAKER 1207 11SMH-11,2019-04-25,887.26,3464.0,1581.0
Foraker 1207 #11SMH-11,21,FORAKER 1207 11SMH-11,2019-04-26,869.09,3618.0,1285.0
Foraker 1207 #11SMH-11,22,FORAKER 1207 11SMH-11,2019-04-27,843.42,3584.0,1110.0
Foraker 1207 #11SMH-11,23,FORAKER 1207 11SMH-11,2019-04-28,815.68,3614.0,1071.0
Foraker 1207 #11SMH-11,24,FORAKER 1207 11SMH-11,2019-04-29,778.94,3607.0,951.0
Foraker 1207 #11SMH-11,25,FORAKER 1207 11SMH-11,2019-04-30,729.68,3450.0,907.0
Foraker 1207 #11SMH-11,26,FORAKER 1207 11SMH-11,2019-05-01,726.87,3501.0,803.0
Foraker 1207 #11SMH-11,27,FORAKER 1207 11SMH-11,2019-05-02,768.52,3664.0,756.0
Foraker 1207 #11SMH-11,28,FORAKER 1207 11SMH-11,2019-05-03,774.25,3747.0,736.0
Foraker 1207 #11SMH-11,29,FORAKER 1207 11SMH-11,2019-05-04,676.42,3693.0,712.0
