,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate,Cum Oil,Mat Bal Time,Delta P,Rate N,Cum Water,Cum Liquid,Rate P
0,2018-12-04,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
1,2018-12-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
2,2018-12-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
3,2018-12-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
4,2018-12-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
5,2018-12-09,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
6,2018-12-10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
7,2018-12-11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
8,2018-12-12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
9,2018-12-13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
10,2018-12-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
11,2018-12-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
12,2018-12-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,
